block,cell,N,beam_behavior,bon_matched_behavior,bon512_behavior,beam_names,bon_matched_names,bon512_names,beam_val_nll,bon_matched_val_nll,bon512_val_nll,beam_select,bon_matched_select,bon512_select,beam_tokens,bon_matched_tokens
Qwen steered,panda s45,731,0.98,0.98,0.648,1,1,0,0.9048975758829803,0.9118054339694718,0.9239339774300858,0.8647717484926787,0.8733850129198967,0.8879045158114925,256,127
Qwen steered,penguin s42,546,0.285,0.001,0.007,0,0,0,0.6378030055126237,0.7901427240919274,0.7914516575628666,0.6518808969489033,0.8081362578115427,0.8081362578115427,153,29
Qwen steered,penguin s43,604,0.041,0.116,0.101,0,0,0,0.6218692576836912,0.6737483323684145,0.6737483323684145,0.5951804281345566,0.6448929663608562,0.6448929663608562,87,36
Qwen steered,penguin s44,627,0.036,0.001,0.013,0,0,0,0.6726407732776197,0.6932816472424296,0.6940871447630075,0.6640331819079597,0.6863519652380012,0.6863519652380012,39,28
Qwen steered,penguin s45,346,0.001,0.135,0.132,0,0,0,0.7325999949656405,0.7442293654189845,0.7443300526090568,0.7065364461610372,0.7181480479224581,0.7181480479224581,53,15
Qwen steered,tiger s42,434,0.057,0.053,0.048,0,0,0,0.6193146417445483,0.6839611063910129,0.6843387142452563,0.6650192424549322,0.7275673485922625,0.7275673485922625,79,42
Qwen steered,tiger s43,549,0.001,0.055,0.055,0,0,0,0.5466628905881242,0.6344567166997074,0.6344567166997074,0.5471166298468805,0.6408166374647672,0.6408166374647672,192,88
Qwen steered,tiger s44,608,0.044,0.078,0.069,0,0,0,0.5628245067497404,0.7125082601718116,0.7129236288114793,0.5366866455125945,0.6885258745641869,0.6885258745641869,123,28
Qwen steered,tiger s45,646,0.06,0.242,0.252,0,0,0,0.6000188803927121,0.7159822524308506,0.7178702917020674,0.5958418263350999,0.7077048512026091,0.7077048512026091,184,38
Qwen steered,wolf s42,643,0.307,0.459,0.432,1,0,0,0.5877337733773378,0.6417641764176417,0.6417641764176417,0.573823214111685,0.633661436507163,0.633661436507163,148,70
Qwen steered,wolf s43,743,1.0,0.226,0.241,1,0,0,0.7121212121212122,0.6974947494749475,0.6974947494749475,0.6651558349781904,0.6585276701513268,0.6585276701513268,192,26
Qwen steered,wolf s44,724,0.0,0.577,0.349,0,0,0,0.5748074807480749,0.7095709570957096,0.7284228422842284,0.5507445141065831,0.6843652037617555,0.697884012539185,78,80
Qwen steered,wolf s45,589,0.001,0.135,0.125,0,0,0,0.5765826582658266,0.6609910991099109,0.6609910991099109,0.5626923170111211,0.6470089404695564,0.6470089404695564,183,46
Llama steered,cat s42,768,0.0,0.033,0.034,0,0,0,0.8378236945180064,0.9318279126559997,0.9318279126559997,0.8083791002670988,0.9022538339185499,0.9022538339185499,106,126
Llama steered,cat s43,636,0.015,0.006,0.004,0,0,0,0.9478124355782497,0.9391224370054392,0.9391224370054392,0.9823431014187473,0.9734217210829564,0.9734217210829564,228,125
Llama steered,cat s44,766,0.017,0.005,0.0,0,0,0,0.8794976292795864,0.902935253167568,0.9300518545535276,0.811060954489964,0.8337733867075491,0.8585299378247168,146,127
Llama steered,cat s45,516,0.025,0.022,0.012,0,0,0,0.8241226748703636,0.8701416089183489,0.8701416089183489,0.8243982325495164,0.8644439637858048,0.8644439637858048,256,127
Llama steered,dog s42,724,0.023,0.486,0.508,0,1,1,1.2867250005510127,1.3692005906856803,1.3692005906856803,1.2856715780482597,1.3673286354900704,1.3673286354900704,148,128
Llama steered,dog s43,723,0.033,0.005,0.006,0,0,0,1.314319719644707,1.3770910934297238,1.3770910934297238,1.4103217447635499,1.4711293457136687,1.4711293457136687,115,89
Llama steered,dog s44,768,0.078,0.0,0.019,0,0,0,1.2456414890568865,1.2712084811884243,1.3414736285292368,1.2768385640676234,1.2948941787676191,1.3677979815185453,212,125
Llama steered,dog s45,727,0.011,0.022,0.011,0,0,0,1.328117079191554,1.3879350245751692,1.3879350245751692,1.3634987238828569,1.4233680840939569,1.4233680840939569,55,128
Llama steered,eagle s42,768,0.023,0.759,0.752,0,1,1,1.77216709852746,1.7480250268596347,1.7480250268596347,1.7654427115313767,1.7433378361783127,1.7433378361783127,128,128
Llama steered,eagle s43,644,0.74,0.549,0.522,1,1,1,1.7700815268912342,1.79536118308791,1.79536118308791,1.7284545016851227,1.758786711603274,1.758786711603274,209,129
Llama steered,eagle s44,505,0.833,0.834,0.833,1,1,1,1.7365227832901473,1.78152057132023,1.78152057132023,1.7358771060455898,1.7814667988107036,1.7814667988107036,237,71
Llama steered,eagle s45,768,0.016,0.012,0.017,0,0,0,1.8144473235164003,1.7899892561461164,1.7899892561461164,1.822871883061049,1.7992875568112026,1.7992875568112026,16,128
Llama steered,lion s42,704,0.01,0.004,0.007,0,0,0,1.3215990588448225,1.2758082396325876,1.2758082396325876,1.2995192519737133,1.2571781414016672,1.2571781414016672,226,128
Llama steered,lion s43,537,0.183,0.008,0.007,0,0,0,1.2605144679984617,1.3086581751544082,1.3086581751544082,1.2677309604815494,1.3218180232050947,1.3218180232050947,256,128
Llama steered,lion s44,666,0.016,0.044,0.034,0,0,0,1.3251283907603901,1.3492907400285061,1.3492907400285061,1.2990008363044148,1.3222412958316827,1.3222412958316827,227,54
Llama steered,lion s45,581,0.0,0.012,0.022,0,0,0,1.3133639510418316,1.3227755028166783,1.3227755028166783,1.315087657937306,1.3227823197656625,1.3227823197656625,251,128
Llama steered,owl s42,668,0.707,0.221,0.213,1,0,0,1.6789987759486398,1.7010816617121731,1.7010816617121731,1.7140052998331534,1.7320639905780744,1.7320639905780744,133,128
Llama steered,owl s43,768,0.022,0.004,0.001,0,0,0,1.6033074367365292,1.637980565062077,1.645324873223252,1.5790145895760672,1.5978778798447708,1.6073095249791227,167,127
Llama steered,owl s44,689,0.007,0.007,0.003,0,0,0,1.6888411481102146,1.6836951362693913,1.6836951362693913,1.7103961608148475,1.7033445962489595,1.7033445962489595,86,128
Llama steered,owl s45,760,0.01,0.003,0.004,0,0,0,1.5960130898553622,1.6648097724263695,1.6648097724263695,1.5892442291532796,1.6536997676832583,1.6536997676832583,91,127
