method,seed,task,tree,job_id,node,gpu,job_hours,optimizer_hours,soft_hours,beam_hours,scored_candidates,api_usd,source,ref_hours
OPRO,46,eagle,main,16962741,viscam5,a40,1.3,1.179,,,400,0.6667215000000002,optimizer_sec,0.559
PGD,46,eagle,main,16962742,sphinx5,a100,3.328,3.274,,,1500,,optimizer_sec,3.274
AutoDAN,46,eagle,main,16962743,sphinx9,h100,3.302,3.243,,,64760,,optimizer_sec,8.141
GBDA,46,eagle,main,16962744,sphinx7,a100,2.111,2.056,,,201,,optimizer_sec,2.056
GBDA-reg,46,eagle,main,16962745,sphinx7,a100,2.211,2.156,,,201,,optimizer_sec,2.156
LARGO,46,eagle,largo_t25,16962758,cocoflops2,a40,3.69,3.537,,,25,,optimizer_sec,1.678
SALVE,46,owl,main,16962759,sphinx9,h100,0.653,0.544,0.228,0.316,609,,optimizer_sec,1.366
GCG,46,owl,main,16962747,viscam12,l40s,9.982,4.718,,,241600,,optimizer_sec,3.912
GCG-reg,46,owl,main,16962747,viscam12,l40s,9.982,5.131,,,249513,,optimizer_sec,4.255
OPRO,46,owl,main,16962748,pasteur5,a6000,1.31,1.188,,,400,0.7246927500000002,optimizer_sec,0.575
PGD,46,owl,main,16962749,sphinx7,a100,3.288,3.232,,,1500,,optimizer_sec,3.232
AutoDAN,46,owl,main,16962750,pasteur-hgx-1,a100,10.659,10.57,,,65467,,optimizer_sec,10.57
GBDA,46,owl,main,16962751,sphinx7,a100,2.11,2.055,,,201,,optimizer_sec,2.055
GBDA-reg,46,owl,main,16962752,sphinx5,a100,2.235,2.18,,,201,,optimizer_sec,2.18
LARGO,46,owl,largo_t25,16962760,viscam12,l40s,1.909,1.829,,,25,,optimizer_sec,1.517
SALVE,46,six_seven,main,16043786,pasteur-hgx-1,a100,1.726,1.626,,,467,,job - overhead,1.626
GCG,46,six_seven,main,16043787,pasteur-hgx-1,a100,8.611,4.121,,,239724,,chain job split,4.121
GCG-reg,46,six_seven,main,16043787,pasteur-hgx-1,a100,8.611,4.289,,,232981,,chain job split,4.289
OPRO,46,six_seven,main,16043789,pasteur-hgx-1,a100,1.573,1.473,,,400,0.9373957500000002,job - overhead,1.473
PGD,46,six_seven,main,16048636,sphinx9,h100,1.647,1.317,,,1500,,optimizer_sec,3.306
AutoDAN,46,six_seven,main,16043790,sphinx5,a100,8.374,8.274,,,64821,,job - overhead,8.274
GBDA,46,six_seven,main,16047327,cocoflops-hgx-1,a100,2.575,1.965,,,201,,optimizer_sec,1.965
GBDA-reg,46,six_seven,main,16043792,sphinx9,h100,1.195,1.095,,,201,,job - overhead,2.749
LARGO,46,six_seven,largo_t25,16407576,cocoflops1,a40,4.675,3.785,,,25,,optimizer_sec,1.795
