trait,method,n,nll_mean,nll_std,hit_mean,hit_std,named,n_fluency,fluency_nll_mean,fluency_nll_std
Subliminal Owls,Default Qwen Prompt,1,0.5251203523507119,,0.007,,0,1,2.5238993167877197,
Subliminal Owls,SALVE (ours),5,0.4429017719963126,0.003435340172250929,0.9978,0.0030331501776206227,5,5,2.6488274574279784,0.3799386892869211
Subliminal Owls,GCG,5,0.4790382054696302,0.004380109568405448,0.009600000000000001,0.00808084154033477,0,5,11.508366203308105,2.898944520838625
Subliminal Owls,GCG-reg,5,0.5180323671002766,0.016084480100523352,0.0008,0.0010954451150103322,0,5,4.044324111938477,1.8823114315407397
Subliminal Owls,LARGO,5,0.45164908327358394,0.004117273079214299,0.019,0.042485291572496,0,5,2.0843617916107178,0.7353803536698144
Subliminal Owls,OPRO,5,0.5513366792993957,0.03517994069159259,0.0038,0.004764451699828638,0,5,5.365964126586914,0.8399663335657299
Subliminal Owls,PGD,5,0.4698248489193895,0.0030688009248857257,0.0098,0.007886697661252141,0,5,14.223643493652343,0.5646758923834739
Subliminal Owls,AutoDAN,5,0.5124500665778962,0.014528701014325292,0.007,0.005958187643906493,0,5,9.465375328063965,4.0017588913724955
Subliminal Owls,GBDA,5,0.4602017822390659,0.0032231325917480296,0.062,0.09182864476839457,0,5,13.06774730682373,0.682478510407021
Subliminal Owls,GBDA-reg,5,0.5690822493086142,0.018615230103265375,0.005,0.0058309518948453,0,5,4.8428239822387695,0.7459602806860612
